Compatibility list MAME style
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|romname   | Pl  | Rot | Control Type (for one player)  | Bios | Test | Boot | Game | Notes                                               |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
| Naomi cartridge system                                                                                                                  |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|18wheelr  |  1  |  H  | 1 axis, 2 pedal, 3 ssw, 2 btn  |      | Yes  | Yes  | Yes  | motorboard unemulated                               |
|18wheels  |  1  |  H  | 1 axis, 2 pedal, 3 ssw, 2 btn  |      | Yes  | Yes  | Yes  |                                                     |
|18wheelu  |  1  |  H  | 1 axis, 2 pedal, 3 ssw, 2 btn  |      | Yes  | Yes  | Yes  |                                                     |
|alienfnt  |  1  |  H  | 3 axis, 5 btn                  |      | Yes  | Yes  | Yes  |                                                     |
|alienfnta |  1  |  H  | 3 axis, 5 btn                  |      | Yes  | Yes  | Yes  |                                                     |
|alpilota  |  1  |  H  | 2 axis, 3 pedal, 2 sw, 1 btn   |      | Yes  | Yes  | Yes  |                                                     |
|alpiltdx  |  1  |  H  | 2 axis, 3 pedal, 2 sw, 1 btn   |      | Yes  | Yes  | Yes  |                                                     |
|asndynmt  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|ausfache  |  2  |  H  |                                | Jap  | Yes  | Yes  | Yes  |                                                     |
|capsnk    |  2  |  H  | joy, 4btn                      |      | Yes  | Yes  | Yes  |                                                     |
|capsnka   |  2  |  H  | joy, 4btn                      |      | Yes  | Yes  | Yes  |                                                     |
|capsnkb   |  2  |  H  | joy, 4btn                      |      | Yes  | Yes  | Yes  |                                                     |
|crackndj  |  1  |  H  | 1 btn, 1 axis, 2 rotary        |      | Yes  | Yes  | Yes  |                                                     |
|crakndj2  |  1  |  H  | 1 btn, 1 axis, 2 rotary        |      | Yes  | Yes  | Yes  |                                                     |
|crzytaxi  |  1  |  H  | 1 axis, 2 pedal, 2 btn         |      | Yes  | Yes  | Yes  |                                                     |
|csmash    |  1  |  H  | joy, 2btn                      |      | Yes  | Yes  | Yes  |                                                     |
|csmasho   |  1  |  H  | joy, 2btn                      |      | Yes  | Yes  | Yes  |                                                     |
|cspike    |  2  |  H  | joy, 4btn                      |      | Yes  | Yes  | Yes  |                                                     |
|deathcox  |  2  |  H  | lightgun 16-bit                |      | Yes  | Yes  | Yes  |                                                     |
|derbyo2k  |  1  |  H  | joy, 5 btn                     | Usa  | Yes  | Yes  | No   | link unemulated, cardreader unemulated              |
|derbyoc   |  1  |  H  | joy, 5 btn                     | Usa  | Yes  | Yes  | No   | link unemulated, cardreader unemulated              |
|derbyoc2  |  1  |  H  | joy, 5 btn                     |      | Yes  | Yes  | No   | link unemulated, cardreader unemulated              |
|derbyocw  |  1  |  H  | joy, 5 btn                     |      | Yes  | Yes  | No   | link unemulated, cardreader unemulated              |
|doa2      |  2  |  H  | joy, 3 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|doa2m     |  2  |  H  | joy, 3 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|drbyocwc  |  1  |  H  | joy, 5 btn                     |      | Yes  | Yes  | No   | link unemulated, cardreader unemulated              |
|dybb99    |  2  |  H  | 2 axis, 1 axis?pedal, 2 btn    | Jap  | Yes  | Yes  | Yes  |                                                     |
|dybbnao   |  2  |  H  | 2 axis, 1 axis?pedal, 2 btn    | Jap  | Yes  | Yes  | Yes  |                                                     |
|f355      |  1  |  H  |                                | Cust | Yes  | Yes  | Yes  |                                                     |
|f355twin  |  1  |  H  |                                | Cust | Yes  | Yes  | Yes  |                                                     |
|f355twn2  |  1  |  H  |                                | Cust | Yes  | Yes  | Yes  |                                                     |
|ggram2    |  2  |  H  | joy, 4 btn, 1?? btn            | Jap  | Yes  | Yes  | Yes  |                                                     |
|ggx       |  2  |  H  | joy, 4 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|gram2000  |  2  |  H  | joy, 4 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|gundmct   |  1  |  H  | twin-joystick with 4+6 buttons |      | Yes  | Yes  | Yes  |                                                     |
|gunsur2   |  1  |  H  | 3-axis gun, 4btn (custom)      |      | Yes  | Yes  | Yes  |                                                     |
|gunsur2j  |  1  |  H  | 3-axis gun, 4btn (custom)      |      | Yes  | Yes  | Yes  |                                                     |
|gwing2    |  2  |  H  | joy, 2 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|hmgeo     |  2  |  H  | joy, 4 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|hopper    |  -  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|hotd2     |  2  |  H  | lightgun                       | Cust | Yes  | Yes  | Yes  |                                                     |
|hotd2o    |  2  |  H  | lightgun                       | Cust | Yes  | Yes  | Yes  |                                                     |
|hotd2p    |  2  |  H  | lightgun                       | Cust | Yes  | Yes  | Yes  |                                                     |
|illvelo   |  1  |  V  |                                | Jap  | Yes  | Yes  | Yes  |                                                     |
|inunoos   |  1  |  H  | 1 axis, 2 pedal, 2 btn         |      | Yes  | Yes  | Yes  |                                                     |
|jambo     |  1  |  H  | 1 axis, 2 pedal, 2 btn         |      | Yes  | Yes  | Yes  |                                                     |
|kick4csh  |  1  |  H  |                                |      | No   | Yes  | No   | hopper board unemulated                             |
|mamonoro  |  2  |  V  |                                |      | Yes  | Yes  | Yes  |                                                     |
|manicpnc  |  2  |  H  | touchscreen                    |      | Yes  | Yes  | Yes  |                                                     |
|marstv    |  3  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|mazan     |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|mazana    |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|mbaa      |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|mbaao     |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|mtkob2    |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|mushi2k5  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|mushi2eo  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|mushik2e  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|mvsc2     |  2  |  H  | joy, 6 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|ninjaslt  |  2  |  H  | 2 lightguns                    |      | Yes  | Yes  | Yes  |                                                     |
|ninjasltu |  2  |  H  | 2 lightguns                    |      | Yes  | Yes  | Yes  |                                                     |
|ninjaslta |  2  |  H  | 2 lightguns                    |      | Yes  | Yes  | Yes  |                                                     |
|ninjasltj |  2  |  H  | 2 lightguns                    |      | Yes  | Yes  | Yes  |                                                     |
|oinori    |  1  |  H  |                                |      | Yes  | Yes  | Yes  | ARCNET network unemulated                           |
|otrigger  |  1  |  H  | trackball, joy, 3 btn          |      | Yes  | Yes  | Yes  |                                                     |
|pjustic   |  2  |  H  | joy, 4 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|pokasuka  |  2  |  H  | touchscreen                    |      | Yes  | Yes  | Yes  |                                                     |
|pstone    |  2  |  H  | joy, 3 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|pstone2   |  4  |  H  | joy, 3 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|puyoda    |  2  |  H  | joy, 1 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|qmegamis  |  2  |  H  | (joy, 1 btn) or (4 btn)        |      | Yes  | Yes  | Yes  |                                                     |
|radirgyn  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|rhytngk   |  2  |  H  | joystick with 2 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|ringout   |  4  |  H  | 2 axis, 2 btn                  |      | Yes  | Yes  | Yes  |                                                     |
|samba     |  2  |  H  | 4 axis, 2 btn (custom)         |      | Yes  | Yes  | Yes  |                                                     |
|samba2k   |  2  |  H  | 4 axis, 2 btn (custom)         |      | Yes  | Yes  | Yes  |                                                     |
|sambap    |  2  |  H  | 4 axis, 2 btn (custom)         |      | Yes  | Yes  | Yes  |                                                     |
|sgtetris  |  2  |  H  | joy, 2 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|shangril  |  1  |  H  | mahjong panel                  |      | Yes  | Yes  | Yes  |                                                     |
|shootopl  |  1  |  H  | 3 rotary, 2 axis, 4 btn        |      | Yes  | Yes  | Yes  |                                                     |
|shootpl   |  1  |  H  | 3 rotary, 2 axis, 4 btn        |      | Yes  | Yes  | Yes  |                                                     |
|shootplm  |  1  |  H  | 3 rotary, 2 axis, 4 btn        |      | Yes  | Yes  | Yes  |                                                     |
|sl2007    |  2  |  V  |                                |      | Yes  | Yes  | Yes  |                                                     |
|slasho    |  1  |  H  | joy, 4 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|smarinef  |  1  |  H  | fishing rod                    |      | Yes  | Yes  | Yes  | DLX network not emulated                            |
|smlg99    |  2  |  H  | 2 axis, 1 axis?pedal, 2 btn    |      | Yes  | Yes  | Yes  |                                                     |
|spawn     |  1  |  H  | joy, 4 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|sstrkfgt  |  1  |  H  | 2 axis, 2 pedal, 4 btn         |      | Yes  | Yes  | Yes  |                                                     |
